Фрезерный станок, ЧПУ, универсал, исправный, 2012, Mitsubishi M80A 
Фрезерный станок, ручное, металл, исправный, 1972, Иванов А. М.
Фрезерный станок, ЧПУ, дерево, неисправный, 2002, SYNTEC 
Токарный станок, ЧПУ, универсал, исправный, 2018, Siemens 
Токарный станок, ручное, дерево, исправный, 1999, Петров С. И.
Ленточная пила, ручное, универсал, исправный, 2015, Семёнов И. И.
Маятниковая пила, ручное, универсал, неисправный, 2017, Игнатов Г. М.
Пескоструйный станок, ручное, металл, исправный, 2020, Кулинбин И. П.
Станок лазерной резки, ЧПУ, металл, исправный, 2024, Lantek Expert Cut 
Сверлильный станок, ручное, металл, исправный, 1985, Сидоров В. П.
Шлифовальный станок, ручное, универсал, исправный, 2005, Петрова А. Н.
Сверлильнорасточной станок, ЧПУ, металл, исправный, 2021, FANUC 
Фрезерногравировальный станок, ЧПУ, дерево, исправный, 2019, Roland 
Токарнорезьбонарезной станок, ручное, металл, неисправный, 1968, Васильев Ф. И.
Лесопилка, ручное, дерево, исправный, 2010, Иванова Е. А.
Циркулярная пила, ручное, универсал, исправный, 1995, Соловьёв М. Ю.
Гриндер, ручное, дерево, исправный, 2008, Козлов А. Г.
Шлифовальный станок, ручное, металл, исправный, 1978, Егоров А. В.
Пресс, ручное, металл, неисправный, 1980, Петров И. И.
Гибочный станок, ЧПУ, металл, исправный, 2023, Bystronic 
Шлифовальнополировальный станок, ручное, металл, неисправный, 1990, Смирнов П. П.
Электроэрозионная машина, ЧПУ, металл, исправный, 2012, Sodick
